bsn,voornaam,tussenvoegsel,achternaam
999993653,Suzanne,van der,Stappen
999990639,Mattheus,du,Burck
999993872,Peter-Jan,van der,Meijden
999992740,Jael,de,Jager
999991723,Lukas,,Klamer
999990317,Nasier,,Boeddhoe
999993793,Rodney,,Plieger
999994542,Gerrit,den,Braber
999995078,Christina Maria,,Maassen
999991930,Aad,,Holthuizen
999991413,Pâte-de-Loupé,,d'Angelo-Huis in 't Veld
999993409,Thea,,Kouwenhoven
999992806,Roukshana Najia,,Bhutto
999992806,Roukshana Najia,,Bhutto
999994335,Pepijn Floris,,Holthuizen
999990263,Wilhelmina Sophia,van,Deursen
999992326,Hypnos,,Olympos
999993811,Babette,,Brandweer
999990858,Lance,,Smit
999993112,Wilma,van,Zon
999991292,Mirjam,,Heijn
999991565,Joost Jan,,Haarlem
999990032,Mihailović,,Bilgiç
999994268,Maria,van der,Wiel
999992843,Thjazi,von,Thursen
999991802,Frans,in 't,Veld
999994426,Johannes Hendrikus Jacobus,,Käster
000009878,Hendrik,,Derks
999990998,Lohstroh,,Elise
999995017,Wladyslaw,,Kwasniewski
999993240,Sherida,,Malhoe
999992181,Willem,,Gat
999992934,Tineke,,Igid
999992715,Joostmans,,Verstraten
999991309,Bertje,,Fruitplukker
999990287,Li,,Wáng
999991632,Kari,von,Thursen
999994980,Christoffel,,Vermeer
999990421,Adrianus Hendrikus,,Holthuizen
999995121,Lisanne-Caroline,,Maassen
999993239,Johanna Dingena,,Maassen
999992788,Pietje,,Puk
999993938,Pip,,Pal
999991255,Wilhelmina,van,Deuren
999993914,A,,A
999992247,Kees,,Zaal
999994049,Hendrika,,Molenaar
999992223,Christina,du,Burck
999990469,Hélen,van,Jansons
999994293,Dirk,,Holthuizen
999990202,Valentijn,van,Urquhart
000009933,Cor,,Veerboot
999991814,Martinus,de,Bever
999993471,Albert,,Zaal
999995091,Thanatos,,Olympos
999991243,Remi,,Zaal
999992442,Hubert Jozef,,Maassen
999993781,Vanessa,,Groeman
999992831,Mientje,den,Oudsten
999992752,Ingeborg Elvira,,Bronwaßer
999991966,Wei Wei,,Tjon á Jon
999991978,Adrianus,,Holthuizen
000009970,Nolda,,Schippersdochter
999994256,Hendrik-jan,,Jansens
999993483,Jacoba Magdalena,te,Schaars
999990408,Paolo,de,Jager
999993690,Antikleia,,Homeros
999992879,Lonneke,,Smit
999994062,Behnam,,Kumari
999992557,Devikumarie,,Dewansingh
999992144,Loki,,Asgaard
999990457,Mălïka'stes,,VųlkovāsoØse 
999991711,Odin,,Asgaard
999990536,Hendrika Johanna Theodora,,Grupstal
999991644,Petrus Wilhelmus Adrianus,,Bakker
999991644,Piet,,Bakker
999995200,Ivaldi,von,Thursen
999992636,Bruno,,Lampekap
999993860,Poseidon,,Lapzwans
999993100,Donald,,Duck
999993422,Marcelius Gerardus Franciscus Michaelis Vincentius,van,Brest naar Kempen
999990883,Paul,de,Man
999993343,Pjotter,,Parsjenko
999993896,Héndrika,,Janse
999992569,Jeannette,,Krul
999994608,N,,Tuamotu Makatea Rangiroa
999993082,Vera,,Galjoen
999991760,Angélie Francisca,,Holthuizen
999994311,Pierre,,Vlag
999991188,Milošević,,Petrovic
999993057,Ulfrun,von,Thursen
999990809,Zahra,,Sohrabi
999993859,Carolus Engelbertus Christianus,,Kierkegaard
999991772,Frouke,,Jansen
999991103,John Y B C D,,Bloëmsma
999990482,Lisanty Teresita del niño Jesús Virgen,De las,do Livramento de La Salete Jansz.
999990275,Eloise,du,Burck
999991346,Jan Adrianus,,Kooyman
000009866,Julia Christina,,Melapatti
999990068,Rozen,,Groeman
999990561,Thomas Christoffel Nicolaas Maria,,Thuisloos
999991358,Adorján Dezső,,Eötvös
